country,date,confirmed,deaths,recovered,daily_cases,daily_deaths
Spain,2020-02-01,1,0,0,0,
Spain,2020-02-02,1,0,0,0,0
Spain,2020-02-03,1,0,0,0,0
Spain,2020-02-04,1,0,0,0,0
Spain,2020-02-05,1,0,0,0,0
Spain,2020-02-06,1,0,0,0,0
Spain,2020-02-07,1,0,0,0,0
Spain,2020-02-08,1,0,0,0,0
Spain,2020-02-09,2,0,0,1,0
Spain,2020-02-10,2,0,0,0,0
Spain,2020-02-11,2,0,0,0,0
Spain,2020-02-12,2,0,0,0,0
Spain,2020-02-13,2,0,0,0,0
Spain,2020-02-14,2,0,0,0,0
Spain,2020-02-15,2,0,2,0,0
Spain,2020-02-16,2,0,2,0,0
Spain,2020-02-17,2,0,2,0,0
Spain,2020-02-18,2,0,2,0,0
Spain,2020-02-19,2,0,2,0,0
Spain,2020-02-20,2,0,2,0,0
Spain,2020-02-21,2,0,2,0,0
Spain,2020-02-22,2,0,2,0,0
Spain,2020-02-23,2,0,2,0,0
Spain,2020-02-24,2,0,2,0,0
Spain,2020-02-25,6,0,2,4,0
Spain,2020-02-26,13,0,2,7,0
Spain,2020-02-27,15,0,2,2,0
Spain,2020-02-28,32,0,2,17,0
Spain,2020-02-29,45,0,2,13,0
Spain,2020-03-01,84,0,2,39,0
Spain,2020-03-02,120,0,2,36,0
Spain,2020-03-03,165,1,2,45,1
Spain,2020-03-04,222,2,2,57,1
Spain,2020-03-05,259,3,2,37,1
Spain,2020-03-06,400,5,2,141,2
Spain,2020-03-07,500,10,30,100,5
Spain,2020-03-08,673,17,30,173,7
Spain,2020-03-09,1073,28,32,400,11
Spain,2020-03-10,1695,35,32,622,7
Spain,2020-03-11,2277,54,183,582,19
Spain,2020-03-12,2277,55,183,0,1
Spain,2020-03-13,5232,133,193,2955,78
Spain,2020-03-14,6391,195,517,1159,62
Spain,2020-03-15,7798,289,517,1407,94
Spain,2020-03-16,9942,342,530,2144,53
Spain,2020-03-17,11748,533,1028,1806,191
Spain,2020-03-18,13910,623,1081,2162,90
Spain,2020-03-19,17963,830,1107,4053,207
Spain,2020-03-20,20410,1043,1588,2447,213
Spain,2020-03-21,25374,1375,2125,4964,332
Spain,2020-03-22,28768,1772,2575,3394,397
Spain,2020-03-23,35136,2311,2575,6368,539
Spain,2020-03-24,39885,2808,3794,4749,497
Spain,2020-03-25,49515,3647,5367,9630,839
Spain,2020-03-26,57786,4365,7015,8271,718
Spain,2020-03-27,65719,5138,9357,7933,773
Spain,2020-03-28,73235,5982,12285,7516,844
Spain,2020-03-29,80110,6803,14709,6875,821
Spain,2020-03-30,87956,7716,16780,7846,913
Spain,2020-03-31,95923,8464,19259,7967,748
Spain,2020-04-01,104118,9387,22647,8195,923
Spain,2020-04-02,112065,10348,26743,7947,961
Spain,2020-04-03,119199,11198,30513,7134,850
Spain,2020-04-04,126168,11947,34219,6969,749
Spain,2020-04-05,131646,12641,38080,5478,694
Spain,2020-04-06,136675,13341,40437,5029,700
Spain,2020-04-07,141942,14045,43208,5267,704
Spain,2020-04-08,148220,14792,48021,6278,747
Spain,2020-04-09,153222,15447,52165,5002,655
Spain,2020-04-10,158273,16081,55668,5051,634
Spain,2020-04-11,163027,16606,59109,4754,525
Spain,2020-04-12,166831,17209,62391,3804,603
Spain,2020-04-13,170099,17756,64727,3268,547
Spain,2020-04-14,172541,18056,67504,2442,300
Spain,2020-04-15,177644,18708,70853,5103,652
Spain,2020-04-16,184948,19315,74797,7304,607
Spain,2020-04-17,190839,20002,74797,5891,687
Spain,2020-04-18,191726,20043,74797,887,41
Spain,2020-04-19,198674,20453,77357,6948,410
Spain,2020-04-20,200210,20852,80587,1536,399
Spain,2020-04-21,204178,21282,82514,3968,430
Spain,2020-04-22,208389,21717,85915,4211,435
Spain,2020-04-23,213024,22157,89250,4635,440
